Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units
Southeast,Weekly,3/1/2020 0:00,Organic,1.26,146398.75,1946.88,10369.85,87.83,133994.19,117661.25,16332.94,0
Spokane,Weekly,3/1/2020 0:00,Organic,1.82,5159.48,21.68,544.07,0,4593.73,2442.99,2150.74,0
St. Louis,Weekly,3/1/2020 0:00,Organic,1.98,12498.11,1535.21,3281.47,7.14,7674.29,2863.61,4810.68,0
Syracuse,Weekly,3/1/2020 0:00,Organic,1.46,4043.96,163.55,215.54,1.4,3663.47,2489.36,1174.11,0
Tampa,Weekly,3/1/2020 0:00,Organic,1.09,14394.89,116.75,1,0,14277.14,14270.47,6.67,0
Total U.S.,Weekly,3/1/2020 0:00,Organic,1.54,1982156.27,166117.62,235288.29,6603.79,1574057.38,1263531.12,310425.88,100.38
West,Weekly,3/1/2020 0:00,Organic,1.74,295461.25,12266.57,24072.25,1433.93,257688.5,169552.23,88037.64,98.63
West Tex/New Mexico,Weekly,3/1/2020 0:00,Organic,1.6,24587.08,591.97,848.22,3262.91,19883.98,19006.73,877.25,0
Albany,Weekly,3/8/2020 0:00,Conventional ,1.03,156156.46,7738.14,115974.31,113.97,32330.04,18802.68,12114.03,1413.33
Atlanta,Weekly,3/8/2020 0:00,Conventional ,1.06,802451.89,333544.07,29009.96,82.1,439815.76,389723.33,49769.47,322.96
Baltimore/Washington,Weekly,3/8/2020 0:00,Conventional ,1.42,1004867.97,128890.88,434938.66,2158.42,438880.01,279422.51,156397.5,3060
Boise,Weekly,3/8/2020 0:00,Conventional ,1.12,135166.3,38848.44,5125.17,1141.66,90051.03,62427.91,17172.83,10450.29
Boston,Weekly,3/8/2020 0:00,Conventional ,1.35,786793.48,20458.13,457686.35,582.12,308066.88,190601.57,47918.67,69546.64
Buffalo/Rochester,Weekly,3/8/2020 0:00,Conventional ,1.2,221595.57,14346.51,63386.8,2119.57,141742.69,103483.24,36075,2184.45
California,Weekly,3/8/2020 0:00,Conventional ,1.27,6460193.8,2125581.08,712281.29,79617.12,3542714.31,1902812.56,1486025.06,153876.69
Charlotte,Weekly,3/8/2020 0:00,Conventional ,1.18,327171.64,141525.33,53879.53,2276.81,129489.97,99615.34,29653.22,221.41
Chicago,Weekly,3/8/2020 0:00,Conventional ,1.33,743084.2,105388.49,162754.97,33136.67,441804.07,244421.95,197261.34,120.78
Cincinnati/Dayton,Weekly,3/8/2020 0:00,Conventional ,0.99,374686.02,77613.76,10162.18,8230.85,278679.23,252199.66,22039.95,4439.62
Columbus,Weekly,3/8/2020 0:00,Conventional ,0.92,285307.29,69205.88,10609.96,1680.46,203810.99,174408.14,28742.93,659.92
Dallas/Ft. Worth,Weekly,3/8/2020 0:00,Conventional ,0.88,1643955.23,729944.6,144162.63,5157.33,764690.67,518641.28,245819.12,230.27
Denver,Weekly,3/8/2020 0:00,Conventional ,1,1197552.97,192429.64,162590.87,2239.96,840292.5,323418.92,503383.96,13489.62
Detroit,Weekly,3/8/2020 0:00,Conventional ,1.05,586137.82,82269.44,33918.72,35122.85,434826.81,404626.46,25859.9,4340.45
Grand Rapids,Weekly,3/8/2020 0:00,Conventional ,1.24,219214.21,6666.44,44634.13,37398.01,130515.63,115592.9,6849.52,8073.21
Great Lakes,Weekly,3/8/2020 0:00,Conventional ,1.07,4682886.34,846548.45,561846.83,186704.4,3087786.66,2380881.68,667829.67,39075.31
Harrisburg/Scranton,Weekly,3/8/2020 0:00,Conventional ,1.1,381910.08,116573.24,129289.99,147.3,135899.55,116240.97,15751.91,3906.67
Hartford/Springfield,Weekly,3/8/2020 0:00,Conventional ,1.46,391865.28,11300.57,292261.96,272.6,88030.15,64610.6,21465.11,1954.44
Houston,Weekly,3/8/2020 0:00,Conventional ,0.8,1399514.72,614140.16,150349.49,352.84,634672.23,157160.03,468211.01,9301.19
Indianapolis,Weekly,3/8/2020 0:00,Conventional ,1.08,273900.06,72333.59,25686.3,3355.25,172524.92,163699.42,7594.91,1230.59
Jacksonville,Weekly,3/8/2020 0:00,Conventional ,1.26,231188.73,83313.89,6048.3,87.33,141739.21,47169.28,94519.94,49.99
Las Vegas,Weekly,3/8/2020 0:00,Conventional ,1.1,341073.99,66299.38,28133.96,32.09,246608.56,109707.79,136867.44,33.33
Los Angeles,Weekly,3/8/2020 0:00,Conventional ,1.27,2797533.92,920850.56,58054.49,58246.06,1760382.81,1126193.01,576526.13,57663.67
Louisville,Weekly,3/8/2020 0:00,Conventional ,0.98,132024.05,35667.23,8479.11,96.82,87780.89,68444.99,19335.9,0
Miami/Ft. Lauderdale,Weekly,3/8/2020 0:00,Conventional ,1.26,987532.15,401680.88,31975.7,327.52,553548.05,195633.2,357478.19,436.66
Midsouth,Weekly,3/8/2020 0:00,Conventional ,1.14,4197082.81,1304672,896001.13,11213.87,1985195.81,1444506.62,525557.52,15131.67
Nashville,Weekly,3/8/2020 0:00,Conventional ,0.96,302142.88,110161.39,6091.57,15.18,185874.74,162528.75,23238,107.99
New Orleans/Mobile,Weekly,3/8/2020 0:00,Conventional ,1,329544.08,170302.14,10557.61,5,148679.33,97012.74,44129.47,7537.12
New York,Weekly,3/8/2020 0:00,Conventional ,1.54,1912334.11,57865.72,1078473.14,3886.71,772108.54,591365.38,172738.01,8005.15
Northeast,Weekly,3/8/2020 0:00,Conventional ,1.35,5826681.87,457615.83,3117199.76,10962.69,2240903.59,1577755.83,531944.02,131203.74
Northern New England,Weekly,3/8/2020 0:00,Conventional ,1.19,615963.16,27345.57,415842,89.66,172685.93,97303.38,37634.72,37747.83
Orlando,Weekly,3/8/2020 0:00,Conventional ,1.05,561732.1,281823.57,13816.29,102,265990.24,132003.57,133322.5,664.17
Philadelphia,Weekly,3/8/2020 0:00,Conventional ,1.32,574369.97,74037.47,265366.87,279.42,234686.21,186757.73,43851.02,4077.46
Phoenix/Tucson,Weekly,3/8/2020 0:00,Conventional ,0.89,1251852.91,343241.91,180775.75,3961.87,723873.38,220298.35,502739.74,835.29
Pittsburgh,Weekly,3/8/2020 0:00,Conventional ,1.03,168327.36,57194.8,9618.09,386.12,101128.35,26789.31,74339.04,0
Plains,Weekly,3/8/2020 0:00,Conventional ,1.04,2407639.23,934111.13,487565.17,1704.11,984258.82,771235,135545.36,77478.46
Portland,Weekly,3/8/2020 0:00,Conventional ,1.35,650277.14,69436,82357.65,2670.79,495623.13,320513.73,145053.1,30056.3
Raleigh/Greensboro,Weekly,3/8/2020 0:00,Conventional ,1.14,428178.01,196881.58,63069.09,2339.98,165887.36,100672.35,65211.68,3.33
Richmond/Norfolk,Weekly,3/8/2020 0:00,Conventional ,0.98,364183.52,106543.55,71979.33,635.88,185024.76,138586.22,42478.25,3960.29
Roanoke,Weekly,3/8/2020 0:00,Conventional ,0.96,208567.09,69141.31,25305.17,38.51,114082.1,81680.83,31305.58,1095.69
Sacramento,Weekly,3/8/2020 0:00,Conventional ,1.35,511136.18,173254.35,152862.82,1580.39,183438.62,99368.71,74970.95,9098.96
San Diego,Weekly,3/8/2020 0:00,Conventional ,1.35,517872.77,101884.11,21962.49,6708.86,387317.31,222083.5,157482.49,7751.32
San Francisco,Weekly,3/8/2020 0:00,Conventional ,1.27,1078340.61,328094.29,211227.94,3766.35,535252.03,143787.25,350553.73,40911.05
Seattle,Weekly,3/8/2020 0:00,Conventional ,1.74,624048.18,69938.4,74103.42,522.1,479484.26,237342.68,239836.64,2304.94
South Carolina,Weekly,3/8/2020 0:00,Conventional ,1.11,515122.52,212295.41,43545.99,905.44,258375.68,190881.72,67321.73,172.23
South Central,Weekly,3/8/2020 0:00,Conventional ,0.89,7453961.29,3239525.52,745876.14,50313.55,3418246.08,1987696.41,1342413.37,88136.3
Southeast,Weekly,3/8/2020 0:00,Conventional ,1.13,5579013.43,2487860.12,208322.74,2329.75,2880500.82,1641033.85,1228721.8,10745.17
Spokane,Weekly,3/8/2020 0:00,Conventional ,1.45,107057.53,19548.01,10346.19,92.58,77070.75,44268.81,32625.61,176.33
St. Louis,Weekly,3/8/2020 0:00,Conventional ,1.18,221330.59,99260.08,11514.73,176.6,110379.18,93045.34,1934.57,15399.27
Syracuse,Weekly,3/8/2020 0:00,Conventional ,1.15,106668.19,5661.35,45526.73,617.79,54862.32,40205.76,13078.78,1577.78
Tampa,Weekly,3/8/2020 0:00,Conventional ,1.13,620872.27,279469.27,16407.44,283.04,324712.52,129140.75,195301.77,270
Total U.S.,Weekly,3/8/2020 0:00,Conventional ,1.13,44303012,13057777.35,7639123.04,370264.06,23235646.06,14122435.48,8492346.09,620864.49
West,Weekly,3/8/2020 0:00,Conventional ,1.12,7695553.22,1661863.2,910029.97,27418.59,5096039.97,2416513.5,2574309.34,105217.13
West Tex/New Mexico,Weekly,3/8/2020 0:00,Conventional ,0.97,926001.27,382709.48,79703.31,27067.43,436521.05,278232.02,156649.77,1639.26
Albany,Weekly,3/8/2020 0:00,Organic,1.59,3384.55,44.69,461.76,0,2878.1,1443.72,1434.38,0
Atlanta,Weekly,3/8/2020 0:00,Organic,1.4,36469.71,166.18,3857.05,0,32446.48,16498.75,15947.73,0
Baltimore/Washington,Weekly,3/8/2020 0:00,Organic,1.39,51586.44,300.3,4171.65,19.86,47094.63,44631.28,2463.35,0
Boise,Weekly,3/8/2020 0:00,Organic,1.71,2865.66,0,418.7,1.35,2445.61,1109.78,1334.33,1.5
Boston,Weekly,3/8/2020 0:00,Organic,1.84,29797.33,58.26,1415.16,0,28323.91,23429.22,4894.69,0
Buffalo/Rochester,Weekly,3/8/2020 0:00,Organic,1.33,13024.99,423.82,213.38,0,12387.79,7566.14,4821.65,0
California,Weekly,3/8/2020 0:00,Organic,1.97,283270.85,21626.69,26629.96,52.35,234961.85,214744.12,20217.73,0
Charlotte,Weekly,3/8/2020 0:00,Organic,1.55,18902.2,76.58,4614.95,27.94,14182.73,5597.51,8585.22,0
Chicago,Weekly,3/8/2020 0:00,Organic,1.7,44497.26,534.61,3830.7,0,40131.95,35744.19,4387.76,0
Cincinnati/Dayton,Weekly,3/8/2020 0:00,Organic,1.43,21765.5,92.91,2314.68,0,19357.91,8430.86,10927.05,0
Columbus,Weekly,3/8/2020 0:00,Organic,1.19,16712.89,489.78,1100.04,0,15123.07,11100.63,4022.44,0
Dallas/Ft. Worth,Weekly,3/8/2020 0:00,Organic,1.3,35695.94,4579.3,107.82,374.99,30633.83,26767.17,3866.66,0
Denver,Weekly,3/8/2020 0:00,Organic,1.45,37831.92,3458.62,1245.58,0,33127.72,32941.94,185.78,0
Detroit,Weekly,3/8/2020 0:00,Organic,1.57,47107.04,380.95,5077.42,0,41641.81,15203.69,26438.12,0
Grand Rapids,Weekly,3/8/2020 0:00,Organic,0.9,21512.73,23.5,1751.06,0,19738.17,19383.97,354.2,0
Great Lakes,Weekly,3/8/2020 0:00,Organic,1.34,290622.19,5766.14,21693.14,4.74,263061.95,195045.36,68016.59,0
Harrisburg/Scranton,Weekly,3/8/2020 0:00,Organic,1.32,18646.77,653.46,381.52,0,17611.79,17022.86,588.93,0
Hartford/Springfield,Weekly,3/8/2020 0:00,Organic,2.06,13016.28,549.25,6698.07,0,5768.96,5650.7,118.26,0
Houston,Weekly,3/8/2020 0:00,Organic,1.61,26784.73,4437.75,27.35,0,22319.63,22314.56,5.07,0
Indianapolis,Weekly,3/8/2020 0:00,Organic,1.33,14613.03,282.48,701.53,0,13629.02,10169.42,3459.6,0
Jacksonville,Weekly,3/8/2020 0:00,Organic,1.11,5813.31,47.89,304.48,0,5460.94,5387.07,73.87,0
Las Vegas,Weekly,3/8/2020 0:00,Organic,1.65,10593.85,659.6,485.16,0,9449.09,8003,1446.09,0
Los Angeles,Weekly,3/8/2020 0:00,Organic,1.94,103060.35,7047.67,3511.31,11.62,92489.75,79034.64,13455.11,0
Louisville,Weekly,3/8/2020 0:00,Organic,1.06,12055.36,1.21,845.89,0,11208.26,8262.31,2945.95,0
Miami/Ft. Lauderdale,Weekly,3/8/2020 0:00,Organic,1.18,15229.36,379.94,2.9,0,14846.52,14836.52,10,0
Midsouth,Weekly,3/8/2020 0:00,Organic,1.37,264192.11,1891.81,28880.68,167.82,233251.8,179207.74,54044.06,0
Nashville,Weekly,3/8/2020 0:00,Organic,1.19,20279.7,77.07,1116.48,0,19086.15,12066.24,7019.91,0
New Orleans/Mobile,Weekly,3/8/2020 0:00,Organic,1.19,6253.26,484.68,2.22,0,5766.36,4297.12,1469.24,0
New York,Weekly,3/8/2020 0:00,Organic,1.87,98222.11,24147.7,22117.94,3.61,51952.86,45701.51,6251.35,0
Northeast,Weekly,3/8/2020 0:00,Organic,1.67,292069.05,34911.53,41095.73,6.36,216055.43,172873.84,43181.59,0
Northern New England,Weekly,3/8/2020 0:00,Organic,1.64,29316.41,44.42,658.97,0,28613.02,13459.21,15153.81,0
Orlando,Weekly,3/8/2020 0:00,Organic,1.14,11330.47,147.82,0,0,11182.65,11182.65,0,0
Philadelphia,Weekly,3/8/2020 0:00,Organic,1.69,32485.54,3974.12,4342.97,0,24168.45,20360.31,3808.14,0
Phoenix/Tucson,Weekly,3/8/2020 0:00,Organic,1.6,20698.23,1587.38,930.48,0,18180.37,16202.54,1977.83,0
Pittsburgh,Weekly,3/8/2020 0:00,Organic,1.1,17973.5,2036.4,18.76,0,15918.34,15918.34,0,0
Plains,Weekly,3/8/2020 0:00,Organic,1.53,73335.03,6562.09,9276.56,23.91,57472.47,41272.82,16199.65,0
Portland,Weekly,3/8/2020 0:00,Organic,2.08,30235.69,241.71,5182.99,0,24810.99,12149.21,12619.19,42.59
Raleigh/Greensboro,Weekly,3/8/2020 0:00,Organic,2.05,16874.29,553.13,3727.78,69.72,12523.66,8698.77,3824.89,0
Richmond/Norfolk,Weekly,3/8/2020 0:00,Organic,1.36,23160.49,38.06,1850.37,5.29,21266.77,17309.6,3957.17,0
Roanoke,Weekly,3/8/2020 0:00,Organic,1.05,21567,11.41,1409.69,0,20145.9,15076.39,5069.51,0
Sacramento,Weekly,3/8/2020 0:00,Organic,1.77,19967.13,3554.95,3632.85,8.5,12770.83,12733.52,37.31,0
San Diego,Weekly,3/8/2020 0:00,Organic,2.12,21689.11,861.26,1100.59,5.21,19722.05,15474.75,4247.3,0
San Francisco,Weekly,3/8/2020 0:00,Organic,2.08,72217.27,5081.75,7902.65,3.03,59229.84,59157.47,72.37,0
Seattle,Weekly,3/8/2020 0:00,Organic,1.95,33180.86,441.95,6757.12,2.66,25979.13,18247.66,7731.47,0
South Carolina,Weekly,3/8/2020 0:00,Organic,1.54,24097.2,340.11,3441.92,17.95,20297.22,12670.96,7626.26,0
South Central,Weekly,3/8/2020 0:00,Organic,1.42,161415.21,17588.63,2666.22,3679.72,137480.64,123841.87,13638.77,0
Southeast,Weekly,3/8/2020 0:00,Organic,1.29,172279.01,1994.37,11531.47,18.92,158734.25,122794.58,35939.67,0
Spokane,Weekly,3/8/2020 0:00,Organic,1.61,5679.01,30.53,547.3,0,5101.18,4182.95,918.23,0
St. Louis,Weekly,3/8/2020 0:00,Organic,1.89,14459.04,1173.48,4104.3,11.48,9169.78,2935.78,6234,0
Syracuse,Weekly,3/8/2020 0:00,Organic,1.46,4352.27,95.88,111.39,0,4145,2430.99,1714.01,0
Tampa,Weekly,3/8/2020 0:00,Organic,1.12,13873.97,163.83,0,0,13710.14,13710.14,0,0
Total U.S.,Weekly,3/8/2020 0:00,Organic,1.56,1785038.66,102732.94,163756.07,4944.72,1513508.71,1224311.12,289152.22,45.37
West,Weekly,3/8/2020 0:00,Organic,1.7,247855.22,12391.68,21982.32,990.9,212490.32,174530.8,37914.15,45.37
West Tex/New Mexico,Weekly,3/8/2020 0:00,Organic,1.59,24625.72,712.91,1108.31,2489.78,20314.72,19863.74,450.98,0
Albany,Weekly,3/15/2020 0:00,Conventional ,1.22,153814.51,14049.32,102561.28,118.47,37085.44,20883.61,14777.39,1424.44
Atlanta,Weekly,3/15/2020 0:00,Conventional ,1.04,1003594.68,414204.98,32773.76,103.61,556512.33,482696.46,73754.76,61.11
Baltimore/Washington,Weekly,3/15/2020 0:00,Conventional ,1.46,1161981.01,180243.74,442905.57,1658.46,537173.24,324804.38,206242.19,6126.67
Boise,Weekly,3/15/2020 0:00,Conventional ,1.38,131063.13,38266.83,5298.54,1581.82,85915.94,46255.24,25058.81,14601.89
Boston,Weekly,3/15/2020 0:00,Conventional ,1.49,822209.27,31703.23,507073.25,536.68,282896.11,222334.26,51352.35,9209.5
Buffalo/Rochester,Weekly,3/15/2020 0:00,Conventional ,1.2,255471.62,22625.06,70184.86,2547.78,160113.92,134178.7,23965.22,1970
California,Weekly,3/15/2020 0:00,Conventional ,1.34,7667912.03,1947227.42,937630.95,113897.64,4669156.02,2757616.76,1684585.72,226953.54
Charlotte,Weekly,3/15/2020 0:00,Conventional ,1.17,418874.21,187496.3,63226.65,1922.5,166228.76,121877.31,44304.79,46.66
Chicago,Weekly,3/15/2020 0:00,Conventional ,1.51,843714.88,121050.09,197798.73,31245.08,493620.98,183264.75,309942.79,413.44
Cincinnati/Dayton,Weekly,3/15/2020 0:00,Conventional ,1.33,368203.59,82688.27,14576.94,9564.5,261373.88,230662.23,29517.96,1193.69
Columbus,Weekly,3/15/2020 0:00,Conventional ,1.21,285293.29,71904.89,14401.46,2039.35,196947.59,165755.27,30753.12,439.2
Dallas/Ft. Worth,Weekly,3/15/2020 0:00,Conventional ,0.9,1986094.8,871696.41,181235.11,7668.05,925495.23,644035.41,281231.45,228.37
Denver,Weekly,3/15/2020 0:00,Conventional ,1.13,1264191.57,237735.84,139127.07,3811.58,883517.08,258381.5,605477.01,19658.57
Detroit,Weekly,3/15/2020 0:00,Conventional ,1.29,581216.34,129777.28,37283.55,42342.72,371812.79,334419.08,32961.62,4432.09
Grand Rapids,Weekly,3/15/2020 0:00,Conventional ,1.58,216748.14,48941.28,52663.55,44172.59,70970.72,54410.26,6683.61,9876.85
Great Lakes,Weekly,3/15/2020 0:00,Conventional ,1.28,4830621.81,1064981.6,674083.02,217222.67,2874334.52,2040386.12,794392.61,39555.79
Harrisburg/Scranton,Weekly,3/15/2020 0:00,Conventional ,1.11,429187.39,135787,143139.76,196.03,150064.6,121484.78,25486.49,3093.33
Hartford/Springfield,Weekly,3/15/2020 0:00,Conventional ,1.49,434088.92,13931.88,328791.92,303.41,91061.71,68780.02,20502.8,1778.89
Houston,Weekly,3/15/2020 0:00,Conventional ,0.82,1765194.4,797236.98,158052.73,1245.53,808659.16,245389.27,552077.5,11192.39
Indianapolis,Weekly,3/15/2020 0:00,Conventional ,1.19,314322.28,87595.1,33690.68,4333.29,188703.21,174736.95,12231.2,1735.06
Jacksonville,Weekly,3/15/2020 0:00,Conventional ,1.08,277685.72,105335.78,9203.64,185.64,162960.66,51200.25,111737.12,23.29
Las Vegas,Weekly,3/15/2020 0:00,Conventional ,0.98,485946.36,67779.58,51397.17,55.35,366714.26,116204.22,249190.81,1319.23
Los Angeles,Weekly,3/15/2020 0:00,Conventional ,1.24,3552073.74,890592.23,91771.74,87468.29,2482241.48,1626507.22,734792.03,120942.23
Louisville,Weekly,3/15/2020 0:00,Conventional ,1.04,155342.41,41416.48,10083.9,96.94,103745.09,81022.91,22718.85,3.33
Miami/Ft. Lauderdale,Weekly,3/15/2020 0:00,Conventional ,1.09,1229956.2,529842.7,48237.29,366.09,651510.12,197982.14,453468.09,59.89
Midsouth,Weekly,3/15/2020 0:00,Conventional ,1.13,5118659.54,1684182.37,983391.45,10105.65,2440980.07,1732008.7,686494.82,22476.55
Nashville,Weekly,3/15/2020 0:00,Conventional ,0.96,372081.93,137090.81,8303.13,11.99,226676,199324.87,27325.03,26.1
New Orleans/Mobile,Weekly,3/15/2020 0:00,Conventional ,1,423012.36,199354.63,14232.63,7,209418.1,153951.31,47100.13,8366.66
New York,Weekly,3/15/2020 0:00,Conventional ,1.52,2244410.56,67897.36,1273352.89,1971.82,901188.49,679619.6,215650.23,5918.66
Northeast,Weekly,3/15/2020 0:00,Conventional ,1.38,6608332.95,563551.77,3527196.33,10421.57,2507163.28,1892257.08,577522.54,37383.66
Northern New England,Weekly,3/15/2020 0:00,Conventional ,1.28,693676.74,50613.42,480076.68,165.55,162821.09,114909.87,41823.18,6088.04
Orlando,Weekly,3/15/2020 0:00,Conventional ,1.06,666212.61,287744.29,17759.39,130.57,360578.36,141993.31,218469.5,115.55
Philadelphia,Weekly,3/15/2020 0:00,Conventional ,1.22,742606.53,84664.43,318244.62,352.65,339344.83,270504.99,65487.62,3352.22
Phoenix/Tucson,Weekly,3/15/2020 0:00,Conventional ,0.87,1615386.29,404523.77,206796.33,5993.47,998072.72,278457.32,719554.19,61.21
Pittsburgh,Weekly,3/15/2020 0:00,Conventional ,1.35,153946.34,46898.25,11802.41,338.69,94906.99,39812.65,55094.34,0
Plains,Weekly,3/15/2020 0:00,Conventional ,1.22,2515256.91,954513.14,476428.63,2308.65,1082006.49,838466.79,170187.16,73352.54
Portland,Weekly,3/15/2020 0:00,Conventional ,1.36,783929.2,82537.78,95474.71,2955.35,602936.53,325583.86,251053.42,26299.25
Raleigh/Greensboro,Weekly,3/15/2020 0:00,Conventional ,1.11,531418.55,239764.6,78486.96,1693.18,211473.81,118617.3,92843.85,12.66
Richmond/Norfolk,Weekly,3/15/2020 0:00,Conventional ,0.89,471085.43,160661.6,80794.63,683.35,228945.85,173559.3,48507.76,6878.79
Roanoke,Weekly,3/15/2020 0:00,Conventional ,0.92,257788.24,91875.37,26240.75,67.06,139605.06,100170.28,37563.53,1871.25
Sacramento,Weekly,3/15/2020 0:00,Conventional ,1.5,581877.89,169817.37,213813.9,1626.82,196619.8,111285.44,78373.83,6960.53
San Diego,Weekly,3/15/2020 0:00,Conventional ,1.19,776125.56,112324.11,29577.33,9419.78,624804.34,412554.25,207071.02,5179.07
San Francisco,Weekly,3/15/2020 0:00,Conventional ,1.63,1081607.55,251516.96,258946.57,3630.07,567513.95,177682.94,334299.53,55531.48
Seattle,Weekly,3/15/2020 0:00,Conventional ,1.76,626458.65,78413.34,76664.9,283.87,471096.54,259676.04,210845.64,574.86
South Carolina,Weekly,3/15/2020 0:00,Conventional ,1.08,637234.49,280546.92,53466.62,729.88,302491.07,210597.74,91683.96,209.37
South Central,Weekly,3/15/2020 0:00,Conventional ,0.91,9026771.84,3885535.95,895035.44,63214.62,4182985.83,2541026.52,1547495.13,94464.18
Southeast,Weekly,3/15/2020 0:00,Conventional ,1.05,6759933.38,2958161.46,268786.1,2341.67,3530644.15,1872416.42,1650977.94,7249.79
Spokane,Weekly,3/15/2020 0:00,Conventional ,1.49,113859.82,21301.81,9966.48,104.3,82487.23,51647.61,30809.96,29.66
St. Louis,Weekly,3/15/2020 0:00,Conventional ,1.26,246899.27,100906.71,12573.48,418.71,133000.37,113745,2172.55,17082.82
Syracuse,Weekly,3/15/2020 0:00,Conventional ,1.23,112159.95,8103.34,44090.67,859.27,59106.67,46080.08,11831.04,1195.55
Tampa,Weekly,3/15/2020 0:00,Conventional ,1.04,716129.49,290908.2,23436.31,352.71,401432.27,131986.69,269418.91,26.67
Total U.S.,Weekly,3/15/2020 0:00,Conventional ,1.16,51540125.03,14968568.53,8766717.02,452355.38,27352451.88,16100499.57,10631015.21,620937.1
West,Weekly,3/15/2020 0:00,Conventional ,1.12,9012636.67,1910414.83,1004165.09,32842.92,6065181.61,2426321.25,3519359.32,119501.04
West Tex/New Mexico,Weekly,3/15/2020 0:00,Conventional ,0.95,1180899.87,460868.79,112752.2,30449.05,576829.83,336194.42,239062.75,1572.66
Albany,Weekly,3/15/2020 0:00,Organic,1.54,3875.67,58.47,403.2,0,3414,1579.38,1834.62,0
Atlanta,Weekly,3/15/2020 0:00,Organic,1.49,45501.48,222.22,4197.36,0,41081.9,22113.65,18968.25,0
Baltimore/Washington,Weekly,3/15/2020 0:00,Organic,1.46,63574.13,423.64,6486.82,17,56646.67,54500.76,2145.91,0
Boise,Weekly,3/15/2020 0:00,Organic,1.94,5568.34,1.35,655.38,9.44,4902.17,2560.23,2341.94,0
Boston,Weekly,3/15/2020 0:00,Organic,1.86,39102.1,76.33,2542.1,0,36483.67,30749.99,5733.68,0
Buffalo/Rochester,Weekly,3/15/2020 0:00,Organic,1.34,14029.9,495.76,289.15,0,13244.99,7452.01,5792.98,0
California,Weekly,3/15/2020 0:00,Organic,2.04,437620.84,36351.68,35693.57,32.32,365543.27,270425.52,95117.75,0
Charlotte,Weekly,3/15/2020 0:00,Organic,1.46,22202.77,120.58,4907.15,57.02,17118.02,5193.97,11924.05,0
Chicago,Weekly,3/15/2020 0:00,Organic,1.99,47346.67,576.23,4017.61,0,42752.83,37971.64,4781.19,0
Cincinnati/Dayton,Weekly,3/15/2020 0:00,Organic,1.48,40530.12,91,2541.81,0,37897.31,23684.49,14212.82,0
Columbus,Weekly,3/15/2020 0:00,Organic,1.31,27353.96,747.51,941.25,0,25665.2,20206.77,5458.43,0
Dallas/Ft. Worth,Weekly,3/15/2020 0:00,Organic,1.37,52972.01,3724.97,127.68,543.33,48576.03,45172.7,3403.33,0
Denver,Weekly,3/15/2020 0:00,Organic,1.52,48029.15,4049.51,1294.72,27.07,42657.85,42432.79,225.06,0
Detroit,Weekly,3/15/2020 0:00,Organic,1.33,57517.66,421.33,2821.39,0,54262.63,42097.68,12164.95,0
Grand Rapids,Weekly,3/15/2020 0:00,Organic,0.9,25547.89,4.43,1672.71,0,23870.75,23558.79,311.96,0
Great Lakes,Weekly,3/15/2020 0:00,Organic,1.4,366263.59,5883.17,19665.51,9.48,340625.96,280485.57,60140.39,0
Harrisburg/Scranton,Weekly,3/15/2020 0:00,Organic,1.38,18888.08,649.67,458.09,0,17780.32,17241.92,538.4,0
Hartford/Springfield,Weekly,3/15/2020 0:00,Organic,2.13,15724.77,468.06,8421.75,0,6834.96,6717.59,117.37,0
Houston,Weekly,3/15/2020 0:00,Organic,1.63,33993.66,5582.03,158.41,2.28,28250.94,28238.3,12.64,0
Indianapolis,Weekly,3/15/2020 0:00,Organic,1.4,16329.3,388.2,842.26,0,15098.84,10762.38,4336.46,0
Jacksonville,Weekly,3/15/2020 0:00,Organic,1.17,5122.12,109.44,283.02,0,4729.66,4729.66,0,0
Las Vegas,Weekly,3/15/2020 0:00,Organic,1.59,10881.67,550.43,525.85,0,9805.39,9696.23,109.16,0
Los Angeles,Weekly,3/15/2020 0:00,Organic,2.1,187548.61,11473.26,3680.99,1.64,172392.72,108462.15,63930.57,0
Louisville,Weekly,3/15/2020 0:00,Organic,1.13,12007.53,7.28,877.33,0,11122.92,8325.76,2797.16,0
Miami/Ft. Lauderdale,Weekly,3/15/2020 0:00,Organic,1.21,18949.73,948.59,6.79,0,17994.35,17991.02,3.33,0
Midsouth,Weekly,3/15/2020 0:00,Organic,1.46,291154.92,2852.41,33763.36,262.65,254276.5,197163.6,57112.9,0
Nashville,Weekly,3/15/2020 0:00,Organic,1.51,14768.8,72.56,1341.73,0,13354.51,6648.4,6706.11,0
New Orleans/Mobile,Weekly,3/15/2020 0:00,Organic,1.33,8455.72,198.83,1,0,8255.89,6895.41,1360.48,0
New York,Weekly,3/15/2020 0:00,Organic,1.92,108261.31,20598.29,18855.62,1.79,68805.61,61983.79,6821.82,0
Northeast,Weekly,3/15/2020 0:00,Organic,1.72,329301.14,30168.15,40523.64,3.16,258606.19,210504.85,48101.34,0
Northern New England,Weekly,3/15/2020 0:00,Organic,1.69,33566.29,61.56,934.02,0,32570.71,16159.61,16411.1,0
Orlando,Weekly,3/15/2020 0:00,Organic,1.16,13239.4,169.83,2.39,0,13067.18,13063.85,3.33,0
